"sample","project","CD8","Cytotoxicity","Antigenicity","PD1","PDL1","FASLG","CXCL9","CXCL10","CCL5","Chemokine_Signature"
"TCGA-95-8039-01A-11R-2241-07","LUAD",1.63998139407645,2.93396200918472,11.3499170597742,1.39100432571787,3.81117584464227,0.5667278059694,5.15044476079828,3.91530882097706,4.8704711651212,4.64540824896551
"TCGA-55-6971-01A-11R-1949-07","LUAD",4.39376467471915,5.15324025403093,10.5833528741984,3.64087709174251,3.91637396672948,2.57215571186513,7.40755818716321,5.40655835234651,6.63166799560536,6.48192817837169
"TCGA-L9-A8F4-01A-11R-A39D-07","LUAD",3.81515244499045,4.19789671887792,9.50683414553628,3.26264928043658,3.11133707683015,2.11543967574051,7.56364900387926,5.17872632578848,6.31818281287815,6.35351938084863
"TCGA-55-8205-01A-11R-2241-07","LUAD",4.61302828434782,4.95018965157046,11.2625850870923,2.92693355645436,6.45255603013704,3.00407585205779,8.93971264088904,8.02033368416385,6.81276103932273,7.92426912145854
"TCGA-91-6828-01A-11R-1858-07","LUAD",3.31722031365651,3.73888638985225,10.8990455998987,2.64126324417844,3.65514603373953,0.801260055945304,8.00295400602103,6.4316051557084,5.65854632288513,6.69770182820485
"TCGA-50-6591-01A-11R-1755-07","LUAD",-1.07151437364691,-1.28982176119566,9.076310630708,-2.6813817406932,-0.0201339972039697,-4.59510331857414,-1.48884811207262,-1.00160713180246,1.03240030456649,-0.486018313102862
"TCGA-05-5425-01A-02R-1628-07","LUAD",4.92243391009351,5.09793644610138,12.1368679065385,2.67361290743182,3.86913654514976,2.10256826918422,8.76617477651654,6.71918342488737,6.66403466466033,7.38313095535475
"TCGA-49-AARR-01A-11R-A41B-07","LUAD",3.21950985890297,3.24383076132134,10.3727717104607,2.31049515899427,3.74048263490473,0.560076112229576,3.686384156686,1.96019690238279,5.44439685902284,3.69699263936388
"TCGA-50-5045-01A-01R-1628-07","LUAD",4.09436324353,4.19073371578038,11.4157401615399,3.01586895575314,4.63303093402843,1.28288863356961,7.00997186645454,6.42378759462742,6.82581796866383,6.75319247658193
"TCGA-69-8453-01A-12R-2326-07","LUAD",3.11196278642482,3.730350267364,11.4030484052526,2.47523322072821,3.56333862141446,0.746313090140267,6.86676007734279,5.12432572623165,6.37813647944913,6.12307409434119
"TCGA-MP-A4TA-01A-21R-A24X-07","LUAD",3.27380188202646,3.92144323065361,11.3738888797039,2.35623319748614,2.85155206187712,0.663686402067578,4.11611358950843,3.89861297780194,5.96009662349188,4.65827439693408
"TCGA-49-AARQ-01A-11R-A41B-07","LUAD",3.61162363946444,3.88596150467221,10.8616522580825,2.71621231017658,2.41958702925833,1.70335137166977,6.99522765320585,5.07526075946603,7.4426182297859,6.50436888081926
"TCGA-55-6975-01A-11R-1949-07","LUAD",2.10781780027904,2.51857577191238,9.46533187528154,0.21322376468509,1.39862507510271,-0.556021380892743,3.06793237899395,3.88496045894155,4.85335566054017,3.93541616615856
"TCGA-75-6205-01A-11R-1755-07","LUAD",4.00705506233174,4.00994430075789,11.1003757632042,2.52326674167351,4.99222979600397,1.5021313967066,7.84630971928715,7.29898180867017,6.93100300778414,7.35876484524715
"TCGA-55-8513-01A-11R-2403-07","LUAD",1.10399824068157,2.12584636252309,10.5267359519211,1.13702336027256,3.81275321531667,0.144209472368102,4.09779300989949,3.2834324923911,3.8158701220402,3.73236520811026
"TCGA-49-4512-01A-21R-1858-07","LUAD",0.188208026728299,0.844702080228692,10.3001381010838,-0.0597680151202661,2.3905636031041,-1.26745270327211,3.40352337785028,2.37173126788835,4.25929370385028,3.34484944986297
"TCGA-55-7574-01A-11R-2039-07","LUAD",3.96535007277459,3.9307629138835,10.2142397554097,3.1451387880317,3.05939730249776,0.682248229181366,6.19431626479179,4.43774963062436,6.28682462136457,5.63963017226024
"TCGA-55-A494-01A-11R-A24X-07","LUAD",1.58465812335622,-0.251086876628817,7.81406975122166,4.03621473851215,0.383831975906138,-1.84545518147237,0.405495812264249,-0.704005034243159,1.76441234415476,0.488634374058617
